Metod;Article;Cluster;z;Tz;Tz_err+;Tz_err-
Here;Fixsen et al. (2009);;0.0;2.7255;0.0006;0.0006
SZ;Luzzi et al. (2009);A1656;0.023;2.72;0.1;0.1
SZ;Luzzi et al. (2009);A2204;0.152;2.9;0.17;0.17
SZ;Luzzi et al. (2009);A1689;0.183;2.95;0.27;0.27
SZ;Luzzi et al. (2009);A520;0.2;2.74;0.28;0.28
SZ;Luzzi et al. (2009);A2163;0.202;3.36;0.2;0.2
SZ;Luzzi et al. (2009);A773;0.216;3.85;0.64;0.64
SZ;Luzzi et al. (2009);A2390;0.232;3.51;0.25;0.25
SZ;Luzzi et al. (2009);A1835;0.252;3.39;0.26;0.26
SZ;Luzzi et al. (2009);A697;0.282;3.22;0.26;0.26
SZ;Luzzi et al. (2009);ZW3146;0.291;4.05;0.66;0.66
SZ;Luzzi et al. (2009);RXJ1347;0.451;3.97;0.19;0.19
SZ;Luzzi et al. (2009);CL0016+16;0.546;3.69;0.37;0.37
SZ;Luzzi et al. (2009);MS0451;0.55;4.59;0.36;0.36
CO;Noterdaeme et al. (2011);;1.7293;7.5;1.6;1.2
CO;Noterdaeme et al. (2011);;1.7738;7.8;0.7;0.6
CO;Noterdaeme et al. (2011);;2.0377;8.6;1.1;1.0
CO;Noterdaeme et al. (2010);;2.6896;9.78;0.78;0.78
CO;Srianand et al. (2008);;2.4184;8.32;1.7;0.6
CO;Noterdaeme et al. (2016);;2.53;9.79;0.65;0.65
AC;Cui et al. (2005);;1.77654;7.2;0.8;0.8
AC;Ge et al. (1997);;1.9731;7.9;1.0;1.0
AC;Srianand et al. (2000);;2.33771;10.0;4.0;4.0
AC;Molaro et al. (2002);;3.025;12.1;1.7;3.2
